net,length_um
net1448,2923.45
net1117,2831.13
net868,2824.98
net621,2794.67
net1776,2783.2
net967,2725.02
net959,2724.09
net1780,2670.79
net976,2610.32
net908,2591.2
net1114,2583.81
net996,2575.34
net1006,2567.24
net628,2566.86
net1010,2538.34
net969,2537.49
net1255,2522.01
net970,2520.35
net962,2515.11
net914,2504.77
net1066,2487.13
net1063,2473.23
net973,2463.77
net1125,2456.9
net1120,2455.12
net933,2446.75
net1245,2445.9
net1108,2418.41
net983,2411.78
net1111,2393.03
net525,2364.5
net979,2313.39
net990,2310.91
net1127,2297.58
net1071,2260.81
net964,2226.83
net998,2207.95
net993,2205.08
net1123,2204.82
mgmt_buffers.mprj_dat_o_core\[8\],2200.03
net1419,2187.51
net1278,2176.45
net1160,2171.74
net1106,2149.41
net1271,2146.64
net1427,2137.16
net981,2132.97
net1201,2132.97
net1174,2108.41
net1434,2088.95
net468,2088.87
net1162,2087.23
net1067,2080.55
net1177,2075.57
net1150,2074.18
net1275,2064.68
net1148,2058.78
net1164,2040.75
net1193,2038.45
soc.core.VexRiscv.IBusCachedPlugin_cache.io_cpu_decode_data\[30\],2036.67
net624,2027.05
net957,2026.55
net1249,2003.13
net1196,1993.55
net1598,1992.44
net626,1964.79
net1166,1958.43
net531,1957.3
net1251,1940.51
net532,1920.42
net1423,1913.57
net1396,1908.51
net865,1898.54
net1172,1898.22
net533,1896.42
net1696,1887.25
net1200,1882.71
net1064,1876.31
net1431,1866.02
net1476,1863.63
net1437,1856.5
net529,1848.52
net1440,1848.15
net1595,1844.69
net1289,1844.14
net627,1822.68
net1129,1821.19
net1052,1809.79
net1473,1808.84
clock_ctrl.core_clk,1808.29
net1782,1799.84
net622,1798.45
net1168,1797.88
net1170,1792.61
net927,1787.06
net527,1783.21
mgmt_buffers.mprj_dat_o_core\[6\],1780.78
net1390,1778.76
net1248,1774.04
net1316,1762.58
net1146,1752.9
net1039,1747.38
net1393,1738.94
net1051,1736.4
net1254,1734.99
net1764,1727.8
net1173,1723.32
net1273,1720.57
net496,1718.65
net1531,1710.94
_05399_,1695.88
net1785,1694.25
net1422,1688.5
mgmt_buffers.mprj_dat_o_core\[20\],1681.54
net1591,1678.42
net1610,1678.33
net1700,1673.67
net1768,1669
net1692,1668.72
net1042,1668.06
net1353,1665.59
_05401_,1665.08
soc.core.VexRiscv.externalInterruptArray_regNext\[7\],1662.47
net1746,1653.68
net1045,1649.35
net1062,1644.38
net1189,1643.8
net552,1634.07
net1060,1633.05
net864,1630.59
net1274,1627.47
net1774,1623.64
net1606,1619.48
net1267,1599.32
net1394,1592.87
net1770,1587.24
net1198,1580.59
_05400_,1580.47
net1070,1575.53
net1469,1574.97
net1268,1570.54
net1272,1548.51
net1328,1547.48
net780,1540.23
net1341,1540.03
net866,1539.82
net648,1538.79
mgmt_buffers.mprj_dat_o_core\[3\],1536.79
net1032,1527.77
net1258,1526.91
net554,1521.85
net1203,1521.44
_05740_,1520.06
net904,1516.63
net1269,1515.32
net1282,1511.45
net1569,1506.26
net1383,1503.22
_06032_,1503.04
net646,1501.72
net1802,1498.2
net1190,1496.26
net1069,1495.93
net1041,1494.37
_05750_,1492.54
net1199,1487.92
net746,1487.54
net1327,1486.82
net1280,1486.35
net1401,1479.61
net1252,1476.46
net1752,1473.56
net1247,1469.45
net1515,1464.97
net1259,1451.17
net1029,1443.25
net1250,1432.54
net1589,1431.41
net1618,1423.38
net1191,1419.64
soc.core.VexRiscv.IBusCachedPlugin_cache.io_mem_rsp_payload_data\[23\],1409.37
net1194,1407.32
net1689,1406.59
net1285,1404.03
net1567,1396.86
net1152,1395.1
_09940_,1394.08
net1760,1393.38
net1604,1392.12
net939,1388.33
user_io_out\[6\],1387.52
net1277,1386.52
net1165,1385.96
net2364,1384.88
net1355,1383.96
net963,1383.53
net1253,1382.94
soc.core.VexRiscv.IBusCachedPlugin_cache.io_cpu_decode_data\[31\],1382.9
net1433,1382.44
net1027,1382.35
soc.core.VexRiscv.IBusCachedPlugin_cache.io_cpu_decode_data\[29\],1381.92
mgmt_buffers.mprj_adr_o_core\[14\],1381.82
net1534,1380.4
net1329,1378.62
net1266,1375.05
net1169,1372.06
net798,1371.82
mgmt_io_out_hk\[10\],1370.89
net459,1370.45
_05731_,1368.3
net467,1367.66
net1587,1367.57
net1331,1367.33
net1021,1365.24
net1291,1364.78
net1611,1362.12
net1287,1362.08
net618,1361.83
net1439,1361.49
net1704,1360.8
net909,1356.74
net1264,1354.84
net1179,1351.9
net1276,1350.78
net1263,1350.68
net1365,1350.39
net1608,1346.86
net461,1345.93
net1750,1345.73
net1061,1342.39
net463,1338.66
net1772,1336.31
net1055,1335.59
net1260,1332.95
net800,1331.16
net1449,1330.66
net1766,1330.66
net1612,1330.42
net1180,1328.51
net1366,1326.57
net1265,1324.5
net1044,1322.86
net1447,1322.68
net1684,1321.46
net1800,1321.34
net743,1320.95
soc.core.VexRiscv.IBusCachedPlugin_cache.io_mem_rsp_payload_data\[28\],1318.88
net1593,1317.68
net929,1317.48
net1147,1316.84
_05737_,1311.4
net1043,1310.79
net1159,1308.65
net1389,1307.31
net1283,1306.59
net1175,1306.58
net987,1304.18
net1058,1303.71
net1708,1300.18
net911,1297.64
net1609,1294.21
net555,1289.98
net507,1289.26
net1332,1288.75
net1435,1286.98
gpio_buf_mgmt_io_out_buf\[2\],1284.55
net1711,1284.5
net1038,1284.08
net862,1279.99
net651,1274.1
net997,1269.28
soc.core.VexRiscv.IBusCachedPlugin_cache.io_mem_rsp_payload_data\[12\],1268.44
net1639,1268.41
net1244,1266.63
net1149,1264.81
_09973_,1261.08
net1756,1260.71
net1035,1260.06
net1176,1259.96
soc.core.VexRiscv.IBusCachedPlugin_cache.io_mem_rsp_payload_data\[21\],1258.72
net1256,1255.63
net1731,1254.18
net1040,1253.98
net1167,1253.54
net1578,1253.43
net1458,1251.96
net1577,1251.04
net1156,1250.41
soc.core.VexRiscv._zz_dBus_cmd_payload_data\[4\],1249.69
soc.core.VexRiscv._zz_dBus_cmd_payload_data\[5\],1248.92
soc.core.VexRiscv._zz_2,1248.73
net550,1246.57
net1754,1244.52
net928,1244.23
net1344,1242.27
net1492,1241.83
soc.core.VexRiscv.IBusCachedPlugin_cache.io_cpu_decode_data\[28\],1240.3
net1392,1239.4
net495,1237.82
net1599,1237.24
net1395,1236.47
net1145,1234.66
net843,1233.85
net1037,1232.81
net499,1230.75
net1584,1230.37
net799,1229.5
mgmt_buffers.mprj_adr_o_core\[16\],1228.81
net1204,1228.73
net1246,1226.92
gpio_buf_mgmt_io_in_buf\[15\],1226.31
net1425,1224.97
_09657_,1222.58
net474,1220.88
net1794,1220.85
net1003,1220.38
net623,1220.29
net1482,1219.56
net1733,1219.17
net1758,1218.61
net1588,1218.05
net602,1216.92
soc.core.VexRiscv.IBusCachedPlugin_cache.io_mem_rsp_payload_data\[14\],1216.72
net1748,1215.3
net1594,1209.09
gpio_buf_mgmt_io_in_buf\[16\],1207.27
net1621,1204.57
net1008,1204.1
net547,1203.45
soc.core.VexRiscv.IBusCachedPlugin_cache.io_mem_rsp_payload_data\[30\],1203.15
net1302,1203.03
net1438,1201.58
net650,1200.44
soc.core.VexRiscv._zz_dBus_cmd_payload_data\[7\],1200.13
net1517,1199.82
user_io_out\[3\],1199.63
net797,1198.5
net1625,1198.41
net1171,1197.9
soc.core.VexRiscv._zz_dBus_cmd_payload_data\[0\],1197.04
net907,1197
net528,1195.93
net1020,1195.61
user_io_oeb\[0\],1195.58
_00130_,1195.38
soc.core.VexRiscv.IBusCachedPlugin_cache.io_mem_rsp_payload_data\[19\],1195.36
net1707,1194.84
_10393_,1194.8
_09115_,1194.07
net905,1193.32
net1436,1192.85
net1036,1192.73
mgmt_buffers.mprj_sel_o_core\[2\],1192.63
net1714,1191.65
net1795,1191.22
net1724,1190.1
user_io_out\[4\],1188.62
net1734,1188.37
net861,1185.17
net1640,1184.4
net1737,1184.18
_08997_,1182.97
net460,1182.24
soc.core.VexRiscv.IBusCachedPlugin_cache.io_mem_rsp_payload_data\[10\],1181.01
net1568,1180.6
net1228,1180.03
net1357,1179.46
net1636,1179.41
net1155,1178.71
net1284,1173.26
net1135,1171.43
net1140,1169.9
net1666,1169.75
net1581,1169.33
gpio_buf_mgmt_io_out_buf\[6\],1169.19
net1084,1166.87
net1732,1166.83
net1738,1165.8
net1679,1164.85
net1602,1163.13
net1582,1162.66
net1430,1162.05
net1626,1160.88
net1735,1160.88
user_io_out\[5\],1160.57
net1023,1159.67
net1617,1158.65
net1281,1158.6
net1579,1158.13
net1650,1157.94
net1736,1157.67
net1230,1157.57
net1619,1157.53
net1243,1157.48
net1421,1157.06
net892,1154.12
net1729,1153.8
net1797,1153.24
net1163,1151.93
_05734_,1151.45
net867,1151.19
net1793,1150.24
net1261,1149.54
net1154,1149.03
net1229,1147.59
net1420,1147.54
net1576,1146.32
net1682,1145.81
net1157,1145.67
net1600,1145.16
net1137,1145.06
net1718,1144.69
net1744,1144.69
net1279,1144.55
net1730,1144.23
net1630,1143.87
net1798,1143.62
net1026,1143.48
net1614,1143.48
net1615,1142.55
soc.core.VexRiscv.IBusCachedPlugin_cache.io_mem_rsp_payload_data\[18\],1142.37
net1605,1141.89
net1723,1141.28
mgmt_buffers.mprj_adr_o_core\[18\],1140.46
net1728,1140.31
net1144,1140.22
net1725,1140.16
net1727,1139.8
net1479,1138.76
